post,is_stress,stress_kind
Practicing social distancing at home for 7 days!!!!,Yes,"Health, Fatigue, or Physical Pain"
pregnancy and the coronavirus,Yes,"Health, Fatigue, or Physical Pain"
preparing for a trip,Yes,Work
preparing for the wedding,Yes,Family Issues
preparing myself for my upcoming wedding.,Yes,Other
presenting in front of other people,Yes,Social Relationships
"pressures with money, business has been slow.",Yes,Financial Problem
pretty much everything. but mostly money i guess.,Yes,Financial Problem
probably having to apply to graduate schools,Yes,School
problem at home,Yes,Family Issues
problem at work and school,Yes,Work
problem with a girlfriend,Yes,Social Relationships
problems at home,Yes,Family Issues
problems with my relationship,Yes,Emotional Turmoil
productivity,Yes,Work
project deadline is approaching and i'm not finished yet,Yes,Work
quarantine,Yes,Social Relationships
raising a  teenage girl  can be stressful,Yes,Financial Problem
reaching my goals at work,Yes,Work
really tired right now,No,"Health, Fatigue, or Physical Pain"
Rebuilding my olders brother motor for his car,No,Family Issues
recent days lot of works its kind of stress. need some advice about relaxing,Yes,Work
recent situation that has been stressing is the survey without catch.,Yes,Everyday Decision Making
recent stock market crash,Yes,Financial Problem
"recently got diagnosed with stage 2 hypertension which has made me super tense, sucks",Yes,"Health, Fatigue, or Physical Pain"
recently i bought a house and there so many things to do like unpacking a ton of stuff.,Yes,Financial Problem
recently i have been stressed about finding a job that values me as an individual.,Yes,Financial Problem
Recently I have been super stressed that I'm losing someone who is very special,Yes,Social Relationships
recently i have just been having a hard time with my finances.,Yes,Financial Problem
recently i have really been stressed out because of my debt that i have,Yes,Financial Problem
recently it has been my relationship.,Yes,Family Issues
recently i've been getting rather stressed out whenever i have to multitask.,Yes,Family Issues
Recently me and my partner have been fighting and it's really stressing me out.,Yes,Emotional Turmoil
recently my new job has been stressing me out,Yes,Work
recently our money situation is stressing us out. i feel we should downsize.,Yes,Financial Problem
recently what has been stressing my out the most is finances. worrying about my income.,Yes,Financial Problem
"Recently, I've been stressed about finishing my school work on time",Yes,School
"recently, my children have been stressing me out with the terrible three's",Yes,Family Issues
relationship problems,Yes,Emotional Turmoil
relationships,Yes,Social Relationships
remember to take your time to process the situation. perhaps it's not as bad as it seems,No,Other
reports i need to finish at work,Yes,Work
retiring from my job,Yes,Work
Right now I'm feeling overwhelmed at work.,Yes,Work
roommate is driving me crazy,Yes,Emotional Turmoil
rushed for time and frustrated trying to fix dinner meal,Yes,Everyday Decision Making
"sales are down, no $$$ :(",Yes,Financial Problem
Saving enough money for retirement,Yes,Work
saving money and keeping it long term,Yes,Financial Problem
school,Yes,School
School,Yes,School
School and graduating on time,Yes,School
School and my job. I need to not lose my job right now,Yes,School
school and upcoming finals,Yes,School
school and work are both super stressful.,Yes,Work
school and work have just been so hectic,Yes,School
School assignments have been stressing me out.,Yes,School
school cause so much information.,Yes,School
school closing & how I will do my job,Yes,Work
school football stress headache,Yes,School
school has been hard,Yes,School
school has been recently. i want to make sure i graduate as soon as possible.,Yes,School
school has been rough,Yes,School
"school has been so hard, i cant keep up",Yes,School
school has been stressing me a lot recently.,Yes,School
school has been stressing me out lateley,Yes,School
school has been stressing me out lately.,Yes,School
School has been stressing me out quite a bit,Yes,School
school has been too much for me lately.,Yes,School
school has been very stressful,Yes,School
school has been very stressful right now.,Yes,School
school have been stressing me out a bit. i have so much papers to write.,Yes,Financial Problem
school is absolutely killing me right now.,Yes,Emotional Turmoil
school is driving me crazy with having so many tests at once.,Yes,School
school is getting very hard.,Yes,School
school is killing me at the moment.,Yes,School
school is so stressful. my teachers are so unorganized,Yes,School
school is starting back up again,Yes,School
school is stressful and i want to drop out.,Yes,Work
school shootings,Yes,School
"School shutting down and having to design an online class - fast, like.",Yes,Work
school starting back has me anxious. i have some hard classes coming up,Yes,School
school sux. no time to do anything. stuck on bus.,Yes,School
school work,Yes,School
"school work, life, choices",Yes,School
"school, homework, work, and social obligations",Yes,School
"school, work, friends",Yes,Work
schoolwork has been stressing me out. the final is next week!,Yes,School
screaming children at work.,Yes,Work
seeing people not practice social distancing at the stores,Yes,Other
Self quarantining for the Coronavirus.,Yes,"Health, Fatigue, or Physical Pain"
Self-isolating because of the COVID-19 has me stressed out.,Yes,Other
selling my house,Yes,Financial Problem
selling our business,Yes,Financial Problem
separation from my husband,Yes,Family Issues
"Seriously, What's NOT stressing me out? #covid19#homeschooling#notreadyforthis",Yes,Everyday Decision Making
Several layoffs at work,Yes,Work
sex,No,Social Relationships
"short on work this season, running out of savings.",Yes,Financial Problem
sick kids and animals,Yes,"Health, Fatigue, or Physical Pain"
"Since I am in quartantine, I can't go outside which is sad.",Yes,Other
Since the Covid-19 I have to rething my travel plans to Oakland for my second opinion.,Yes,"Health, Fatigue, or Physical Pain"
sleep,No,"Health, Fatigue, or Physical Pain"
"So I have been dealing with my dogs lately, they got into a fight last week",Yes,Financial Problem
so much to do,Yes,Work
"so recently me and my ex started back talking, but it ended on a negative note.",Yes,Emotional Turmoil
"so stressed stuck on traffic for one hour and a half everyday after work,",Yes,Work
Social Distancing because of Coronavirus,Yes,"Health, Fatigue, or Physical Pain"
social stuff,No,Social Relationships
some drama in my wife's family,Yes,Family Issues
some health decisions,Yes,"Health, Fatigue, or Physical Pain"
some of my outdoor plants died in the recent cold weather.,Yes,Other
some pain in my ribs,Yes,"Health, Fatigue, or Physical Pain"
someone shirking responsibilities at work,Yes,Work
sometimes  stress i feel it,Yes,Work
sometimes work can get overwhelming and it seems like my boss doesn't sympathise.,Yes,Work
"sometimes, i feel like my husband doesn't listen to me well.",Yes,Family Issues
"sorry to here about your problem at work, just try to get to the end of the day",No,Work
"sorry, but i don't want to talk about it.",Yes,"Health, Fatigue, or Physical Pain"
speech judges and correcting essays.,No,School
starting a new job has really stressed me out,Yes,Work
starting to research schools for kids,Yes,Everyday Decision Making
Staying at home bro! Its killin' me! j/k I'm doin fine.,No,Social Relationships
Staying at home doing nothing is really stressing me out.,Yes,Other
Staying home all the time is really frustrating.,Yes,Social Relationships
Staying home from the CV outbreak,Yes,Social Relationships
staying in shape and eating healthy have been tough lately,Yes,"Health, Fatigue, or Physical Pain"
step son is acting up again.,Yes,Family Issues
"Still packing for the big move.  Way too much stuff, not enough boxes!",Yes,Family Issues
still stressed about the same thing as before,Yes,Other
still studying for that test,Yes,School
"stress at work, specifically my boss!",Yes,Work
stress is very loss of all,No,Financial Problem
stress is very loss of my business earnings.,Yes,Work
Stressed about COVID-19 my health and my job,Yes,"Health, Fatigue, or Physical Pain"
stressed about my poor weight loss efforts.,Yes,"Health, Fatigue, or Physical Pain"
Stressed about this virus thing. It sucks!,Yes,"Health, Fatigue, or Physical Pain"
stressed out about my health not feeling well very congested.,Yes,"Health, Fatigue, or Physical Pain"
"Stressed out about work, they want us to pick up more hours since a lot of people are ou",Yes,Work
stressing,Yes,Work
stressing about my daughter's marriage,Yes,Family Issues
"stressing about my upcoming taxes, since i don't know how much i'll have to pay.",Yes,Financial Problem
struggling home life and work life is stressful and complicated,Yes,Work
Stuff I had planned is being canceled bc of the pandemic,Yes,Other
submitting a report for work.,Yes,Work
submitting an email,No,Social Relationships
such a sucky day. i'm glad it is over,Yes,Other
sudden bill came up,Yes,Financial Problem
"sup bro, just trying to balance work and social life",Yes,Emotional Turmoil
super busy and overwhelmed lately,Yes,"Health, Fatigue, or Physical Pain"
Super stresses about coronavirus and its impact on my job and my finances,Yes,Work
sure,No,Other
ta going to jail,Yes,Other
"taking care of my kids after work, im always so tired",Yes,"Health, Fatigue, or Physical Pain"
"taking care of three kids, has been very stressful.",Yes,"Health, Fatigue, or Physical Pain"
Taking it day by day but starting to feel like a prisoner.,Yes,Other
